Date,Time,Date Time,Direction,Intersection,Bike Traffic,
6/8/2016,12:00 AM,6/8/2016 12:00 AM,Southbound,6,7,
6/8/2016,01:00 AM,6/8/2016 01:00 AM,Southbound,6,4,
6/8/2016,02:00 AM,6/8/2016 02:00 AM,Southbound,6,0,
6/8/2016,03:00 AM,6/8/2016 03:00 AM,Southbound,6,0,
6/8/2016,04:00 AM,6/8/2016 04:00 AM,Southbound,6,3,
6/8/2016,05:00 AM,6/8/2016 05:00 AM,Southbound,6,13,
6/8/2016,06:00 AM,6/8/2016 06:00 AM,Southbound,6,34,
6/8/2016,07:00 AM,6/8/2016 07:00 AM,Southbound,6,85,
6/8/2016,08:00 AM,6/8/2016 08:00 AM,Southbound,6,180,
6/8/2016,09:00 AM,6/8/2016 09:00 AM,Southbound,6,150,
6/8/2016,10:00 AM,6/8/2016 10:00 AM,Southbound,6,77,
6/8/2016,11:00 AM,6/8/2016 11:00 AM,Southbound,6,58,
6/8/2016,12:00 PM,6/8/2016 12:00 PM,Southbound,6,48,
6/8/2016,01:00 PM,6/8/2016 01:00 PM,Southbound,6,50,
6/8/2016,02:00 PM,6/8/2016 02:00 PM,Southbound,6,49,
6/8/2016,03:00 PM,6/8/2016 03:00 PM,Southbound,6,71,
6/8/2016,04:00 PM,6/8/2016 04:00 PM,Southbound,6,129,
6/8/2016,05:00 PM,6/8/2016 05:00 PM,Southbound,6,210,
6/8/2016,06:00 PM,6/8/2016 06:00 PM,Southbound,6,177,
6/8/2016,07:00 PM,6/8/2016 07:00 PM,Southbound,6,106,
6/8/2016,08:00 PM,6/8/2016 08:00 PM,Southbound,6,73,
6/8/2016,09:00 PM,6/8/2016 09:00 PM,Southbound,6,56,
6/8/2016,10:00 PM,6/8/2016 10:00 PM,Southbound,6,25,
6/8/2016,11:00 PM,6/8/2016 11:00 PM,Southbound,6,11,
6/9/2016,12:00 AM,6/9/2016 12:00 AM,Southbound,6,19,
6/9/2016,01:00 AM,6/9/2016 01:00 AM,Southbound,6,2,
6/9/2016,02:00 AM,6/9/2016 02:00 AM,Southbound,6,1,
6/9/2016,03:00 AM,6/9/2016 03:00 AM,Southbound,6,0,
6/9/2016,04:00 AM,6/9/2016 04:00 AM,Southbound,6,2,
6/9/2016,05:00 AM,6/9/2016 05:00 AM,Southbound,6,11,
6/9/2016,06:00 AM,6/9/2016 06:00 AM,Southbound,6,43,
6/9/2016,07:00 AM,6/9/2016 07:00 AM,Southbound,6,82,
6/9/2016,08:00 AM,6/9/2016 08:00 AM,Southbound,6,213,
6/9/2016,09:00 AM,6/9/2016 09:00 AM,Southbound,6,139,
6/9/2016,10:00 AM,6/9/2016 10:00 AM,Southbound,6,80,
6/9/2016,11:00 AM,6/9/2016 11:00 AM,Southbound,6,57,
6/9/2016,12:00 PM,6/9/2016 12:00 PM,Southbound,6,62,
6/9/2016,01:00 PM,6/9/2016 01:00 PM,Southbound,6,46,
6/9/2016,02:00 PM,6/9/2016 02:00 PM,Southbound,6,58,
6/9/2016,03:00 PM,6/9/2016 03:00 PM,Southbound,6,72,
6/9/2016,04:00 PM,6/9/2016 04:00 PM,Southbound,6,140,
6/9/2016,05:00 PM,6/9/2016 05:00 PM,Southbound,6,218,
6/9/2016,06:00 PM,6/9/2016 06:00 PM,Southbound,6,195,
6/9/2016,07:00 PM,6/9/2016 07:00 PM,Southbound,6,98,
6/9/2016,08:00 PM,6/9/2016 08:00 PM,Southbound,6,58,
6/9/2016,09:00 PM,6/9/2016 09:00 PM,Southbound,6,53,
6/9/2016,10:00 PM,6/9/2016 10:00 PM,Southbound,6,39,
6/9/2016,11:00 PM,6/9/2016 11:00 PM,Southbound,6,13,
6/10/2016,12:00 AM,6/10/2016 12:00 AM,Southbound,6,15,
6/10/2016,01:00 AM,6/10/2016 01:00 AM,Southbound,6,3,
6/10/2016,02:00 AM,6/10/2016 02:00 AM,Southbound,6,4,
6/10/2016,03:00 AM,6/10/2016 03:00 AM,Southbound,6,3,
6/10/2016,04:00 AM,6/10/2016 04:00 AM,Southbound,6,2,
6/10/2016,05:00 AM,6/10/2016 05:00 AM,Southbound,6,10,
6/10/2016,06:00 AM,6/10/2016 06:00 AM,Southbound,6,32,
6/10/2016,07:00 AM,6/10/2016 07:00 AM,Southbound,6,76,
6/10/2016,08:00 AM,6/10/2016 08:00 AM,Southbound,6,177,
6/10/2016,09:00 AM,6/10/2016 09:00 AM,Southbound,6,126,
6/10/2016,10:00 AM,6/10/2016 10:00 AM,Southbound,6,60,
6/10/2016,11:00 AM,6/10/2016 11:00 AM,Southbound,6,67,
6/10/2016,12:00 PM,6/10/2016 12:00 PM,Southbound,6,62,
6/10/2016,01:00 PM,6/10/2016 01:00 PM,Southbound,6,65,
6/10/2016,02:00 PM,6/10/2016 02:00 PM,Southbound,6,77,
6/10/2016,03:00 PM,6/10/2016 03:00 PM,Southbound,6,108,
6/10/2016,04:00 PM,6/10/2016 04:00 PM,Southbound,6,121,
6/10/2016,05:00 PM,6/10/2016 05:00 PM,Southbound,6,200,
6/10/2016,06:00 PM,6/10/2016 06:00 PM,Southbound,6,181,
6/10/2016,07:00 PM,6/10/2016 07:00 PM,Southbound,6,184,
6/10/2016,08:00 PM,6/10/2016 08:00 PM,Southbound,6,78,
6/10/2016,09:00 PM,6/10/2016 09:00 PM,Southbound,6,38,
6/10/2016,10:00 PM,6/10/2016 10:00 PM,Southbound,6,29,
6/10/2016,11:00 PM,6/10/2016 11:00 PM,Southbound,6,27,
6/11/2016,12:00 AM,6/11/2016 12:00 AM,Southbound,6,17,
6/11/2016,01:00 AM,6/11/2016 01:00 AM,Southbound,6,12,
6/11/2016,02:00 AM,6/11/2016 02:00 AM,Southbound,6,7,
6/11/2016,03:00 AM,6/11/2016 03:00 AM,Southbound,6,2,
6/11/2016,04:00 AM,6/11/2016 04:00 AM,Southbound,6,3,
6/11/2016,05:00 AM,6/11/2016 05:00 AM,Southbound,6,3,
6/11/2016,06:00 AM,6/11/2016 06:00 AM,Southbound,6,6,
6/11/2016,07:00 AM,6/11/2016 07:00 AM,Southbound,6,22,
6/11/2016,08:00 AM,6/11/2016 08:00 AM,Southbound,6,36,
6/11/2016,09:00 AM,6/11/2016 09:00 AM,Southbound,6,49,
6/11/2016,10:00 AM,6/11/2016 10:00 AM,Southbound,6,76,
6/11/2016,11:00 AM,6/11/2016 11:00 AM,Southbound,6,92,
6/11/2016,12:00 PM,6/11/2016 12:00 PM,Southbound,6,116,
6/11/2016,01:00 PM,6/11/2016 01:00 PM,Southbound,6,36,
6/11/2016,02:00 PM,6/11/2016 02:00 PM,Southbound,6,42,
6/11/2016,03:00 PM,6/11/2016 03:00 PM,Southbound,6,46,
6/11/2016,04:00 PM,6/11/2016 04:00 PM,Southbound,6,47,
6/11/2016,05:00 PM,6/11/2016 05:00 PM,Southbound,6,41,
6/11/2016,06:00 PM,6/11/2016 06:00 PM,Southbound,6,46,
6/11/2016,07:00 PM,6/11/2016 07:00 PM,Southbound,6,29,
6/11/2016,08:00 PM,6/11/2016 08:00 PM,Southbound,6,34,
6/11/2016,09:00 PM,6/11/2016 09:00 PM,Southbound,6,26,
6/11/2016,10:00 PM,6/11/2016 10:00 PM,Southbound,6,18,
6/11/2016,11:00 PM,6/11/2016 11:00 PM,Southbound,6,8,
9/27/2016,12:00 AM,9/27/2016 12:00 AM,Southbound,6,6,
9/27/2016,01:00 AM,9/27/2016 01:00 AM,Southbound,6,1,
9/27/2016,02:00 AM,9/27/2016 02:00 AM,Southbound,6,1,
9/27/2016,03:00 AM,9/27/2016 03:00 AM,Southbound,6,1,
9/27/2016,04:00 AM,9/27/2016 04:00 AM,Southbound,6,1,
9/27/2016,05:00 AM,9/27/2016 05:00 AM,Southbound,6,7,
9/27/2016,06:00 AM,9/27/2016 06:00 AM,Southbound,6,18,
9/27/2016,07:00 AM,9/27/2016 07:00 AM,Southbound,6,41,
9/27/2016,08:00 AM,9/27/2016 08:00 AM,Southbound,6,81,
9/27/2016,09:00 AM,9/27/2016 09:00 AM,Southbound,6,91,
9/27/2016,10:00 AM,9/27/2016 10:00 AM,Southbound,6,70,
9/27/2016,11:00 AM,9/27/2016 11:00 AM,Southbound,6,63,
9/27/2016,12:00 PM,9/27/2016 12:00 PM,Southbound,6,43,
9/27/2016,01:00 PM,9/27/2016 01:00 PM,Southbound,6,51,
9/27/2016,02:00 PM,9/27/2016 02:00 PM,Southbound,6,69,
9/27/2016,03:00 PM,9/27/2016 03:00 PM,Southbound,6,75,
9/27/2016,04:00 PM,9/27/2016 04:00 PM,Southbound,6,87,
9/27/2016,05:00 PM,9/27/2016 05:00 PM,Southbound,6,133,
9/27/2016,06:00 PM,9/27/2016 06:00 PM,Southbound,6,136,
9/27/2016,07:00 PM,9/27/2016 07:00 PM,Southbound,6,62,
9/27/2016,08:00 PM,9/27/2016 08:00 PM,Southbound,6,36,
9/27/2016,09:00 PM,9/27/2016 09:00 PM,Southbound,6,19,
9/27/2016,10:00 PM,9/27/2016 10:00 PM,Southbound,6,27,
9/27/2016,11:00 PM,9/27/2016 11:00 PM,Southbound,6,10,
9/28/2016,12:00 AM,9/28/2016 12:00 AM,Southbound,6,4,
9/28/2016,01:00 AM,9/28/2016 01:00 AM,Southbound,6,0,
9/28/2016,02:00 AM,9/28/2016 02:00 AM,Southbound,6,1,
9/28/2016,03:00 AM,9/28/2016 03:00 AM,Southbound,6,1,
9/28/2016,04:00 AM,9/28/2016 04:00 AM,Southbound,6,0,
9/28/2016,05:00 AM,9/28/2016 05:00 AM,Southbound,6,8,
9/28/2016,06:00 AM,9/28/2016 06:00 AM,Southbound,6,22,
9/28/2016,07:00 AM,9/28/2016 07:00 AM,Southbound,6,99,
9/28/2016,08:00 AM,9/28/2016 08:00 AM,Southbound,6,209,
9/28/2016,09:00 AM,9/28/2016 09:00 AM,Southbound,6,120,
9/28/2016,10:00 AM,9/28/2016 10:00 AM,Southbound,6,60,
9/28/2016,11:00 AM,9/28/2016 11:00 AM,Southbound,6,45,
9/28/2016,12:00 PM,9/28/2016 12:00 PM,Southbound,6,49,
9/28/2016,01:00 PM,9/28/2016 01:00 PM,Southbound,6,36,
9/28/2016,02:00 PM,9/28/2016 02:00 PM,Southbound,6,73,
9/28/2016,03:00 PM,9/28/2016 03:00 PM,Southbound,6,71,
9/28/2016,04:00 PM,9/28/2016 04:00 PM,Southbound,6,108,
9/28/2016,05:00 PM,9/28/2016 05:00 PM,Southbound,6,186,
9/28/2016,06:00 PM,9/28/2016 06:00 PM,Southbound,6,92,
9/28/2016,07:00 PM,9/28/2016 07:00 PM,Southbound,6,33,
9/28/2016,08:00 PM,9/28/2016 08:00 PM,Southbound,6,43,
9/28/2016,09:00 PM,9/28/2016 09:00 PM,Southbound,6,44,
9/28/2016,10:00 PM,9/28/2016 10:00 PM,Southbound,6,22,
9/28/2016,11:00 PM,9/28/2016 11:00 PM,Southbound,6,4,
9/29/2016,12:00 AM,9/29/2016 12:00 AM,Southbound,6,7,
9/29/2016,01:00 AM,9/29/2016 01:00 AM,Southbound,6,0,
9/29/2016,02:00 AM,9/29/2016 02:00 AM,Southbound,6,0,
9/29/2016,03:00 AM,9/29/2016 03:00 AM,Southbound,6,0,
9/29/2016,04:00 AM,9/29/2016 04:00 AM,Southbound,6,0,
9/29/2016,05:00 AM,9/29/2016 05:00 AM,Southbound,6,1,
9/29/2016,06:00 AM,9/29/2016 06:00 AM,Southbound,6,30,
9/29/2016,07:00 AM,9/29/2016 07:00 AM,Southbound,6,88,
9/29/2016,08:00 AM,9/29/2016 08:00 AM,Southbound,6,183,
9/29/2016,09:00 AM,9/29/2016 09:00 AM,Southbound,6,150,
9/29/2016,10:00 AM,9/29/2016 10:00 AM,Southbound,6,59,
9/29/2016,11:00 AM,9/29/2016 11:00 AM,Southbound,6,50,
9/29/2016,12:00 PM,9/29/2016 12:00 PM,Southbound,6,47,
9/29/2016,01:00 PM,9/29/2016 01:00 PM,Southbound,6,42,
9/29/2016,02:00 PM,9/29/2016 02:00 PM,Southbound,6,69,
9/29/2016,03:00 PM,9/29/2016 03:00 PM,Southbound,6,45,
9/29/2016,04:00 PM,9/29/2016 04:00 PM,Southbound,6,126,
9/29/2016,05:00 PM,9/29/2016 05:00 PM,Southbound,6,205,
9/29/2016,06:00 PM,9/29/2016 06:00 PM,Southbound,6,151,
9/29/2016,07:00 PM,9/29/2016 07:00 PM,Southbound,6,86,
9/29/2016,08:00 PM,9/29/2016 08:00 PM,Southbound,6,16,
9/29/2016,09:00 PM,9/29/2016 09:00 PM,Southbound,6,34,
9/29/2016,10:00 PM,9/29/2016 10:00 PM,Southbound,6,25,
9/29/2016,11:00 PM,9/29/2016 11:00 PM,Southbound,6,12,
9/27/2016,12:00 AM,9/27/2016 12:00 AM,Southbound,451,3,
9/27/2016,01:00 AM,9/27/2016 01:00 AM,Southbound,451,0,
9/27/2016,02:00 AM,9/27/2016 02:00 AM,Southbound,451,0,
9/27/2016,03:00 AM,9/27/2016 03:00 AM,Southbound,451,2,
9/27/2016,04:00 AM,9/27/2016 04:00 AM,Southbound,451,1,
9/27/2016,05:00 AM,9/27/2016 05:00 AM,Southbound,451,5,
9/27/2016,06:00 AM,9/27/2016 06:00 AM,Southbound,451,10,
9/27/2016,07:00 AM,9/27/2016 07:00 AM,Southbound,451,14,
9/27/2016,08:00 AM,9/27/2016 08:00 AM,Southbound,451,16,
9/27/2016,09:00 AM,9/27/2016 09:00 AM,Southbound,451,15,
9/27/2016,10:00 AM,9/27/2016 10:00 AM,Southbound,451,16,
9/27/2016,11:00 AM,9/27/2016 11:00 AM,Southbound,451,10,
9/27/2016,12:00 PM,9/27/2016 12:00 PM,Southbound,451,15,
9/27/2016,01:00 PM,9/27/2016 01:00 PM,Southbound,451,13,
9/27/2016,02:00 PM,9/27/2016 02:00 PM,Southbound,451,13,
9/27/2016,03:00 PM,9/27/2016 03:00 PM,Southbound,451,26,
9/27/2016,04:00 PM,9/27/2016 04:00 PM,Southbound,451,36,
9/27/2016,05:00 PM,9/27/2016 05:00 PM,Southbound,451,43,
9/27/2016,06:00 PM,9/27/2016 06:00 PM,Southbound,451,29,
9/27/2016,07:00 PM,9/27/2016 07:00 PM,Southbound,451,30,
9/27/2016,08:00 PM,9/27/2016 08:00 PM,Southbound,451,24,
9/27/2016,09:00 PM,9/27/2016 09:00 PM,Southbound,451,17,
9/27/2016,10:00 PM,9/27/2016 10:00 PM,Southbound,451,10,
9/27/2016,11:00 PM,9/27/2016 11:00 PM,Southbound,451,3,
9/28/2016,12:00 AM,9/28/2016 12:00 AM,Southbound,451,3,
9/28/2016,01:00 AM,9/28/2016 01:00 AM,Southbound,451,3,
9/28/2016,02:00 AM,9/28/2016 02:00 AM,Southbound,451,0,
9/28/2016,03:00 AM,9/28/2016 03:00 AM,Southbound,451,1,
9/28/2016,04:00 AM,9/28/2016 04:00 AM,Southbound,451,2,
9/28/2016,05:00 AM,9/28/2016 05:00 AM,Southbound,451,7,
9/28/2016,06:00 AM,9/28/2016 06:00 AM,Southbound,451,18,
9/28/2016,07:00 AM,9/28/2016 07:00 AM,Southbound,451,26,
9/28/2016,08:00 AM,9/28/2016 08:00 AM,Southbound,451,48,
9/28/2016,09:00 AM,9/28/2016 09:00 AM,Southbound,451,20,
9/28/2016,10:00 AM,9/28/2016 10:00 AM,Southbound,451,15,
9/28/2016,11:00 AM,9/28/2016 11:00 AM,Southbound,451,19,
9/28/2016,12:00 PM,9/28/2016 12:00 PM,Southbound,451,14,
9/28/2016,01:00 PM,9/28/2016 01:00 PM,Southbound,451,18,
9/28/2016,02:00 PM,9/28/2016 02:00 PM,Southbound,451,18,
9/28/2016,03:00 PM,9/28/2016 03:00 PM,Southbound,451,24,
9/28/2016,04:00 PM,9/28/2016 04:00 PM,Southbound,451,48,
9/28/2016,05:00 PM,9/28/2016 05:00 PM,Southbound,451,57,
9/28/2016,06:00 PM,9/28/2016 06:00 PM,Southbound,451,39,
9/28/2016,07:00 PM,9/28/2016 07:00 PM,Southbound,451,32,
9/28/2016,08:00 PM,9/28/2016 08:00 PM,Southbound,451,13,
9/28/2016,09:00 PM,9/28/2016 09:00 PM,Southbound,451,7,
9/28/2016,10:00 PM,9/28/2016 10:00 PM,Southbound,451,8,
9/28/2016,11:00 PM,9/28/2016 11:00 PM,Southbound,451,5,
9/29/2016,12:00 AM,9/29/2016 12:00 AM,Southbound,451,5,
9/29/2016,01:00 AM,9/29/2016 01:00 AM,Southbound,451,6,
9/29/2016,02:00 AM,9/29/2016 02:00 AM,Southbound,451,0,
9/29/2016,03:00 AM,9/29/2016 03:00 AM,Southbound,451,1,
9/29/2016,04:00 AM,9/29/2016 04:00 AM,Southbound,451,2,
9/29/2016,05:00 AM,9/29/2016 05:00 AM,Southbound,451,7,
9/29/2016,06:00 AM,9/29/2016 06:00 AM,Southbound,451,13,
9/29/2016,07:00 AM,9/29/2016 07:00 AM,Southbound,451,30,
9/29/2016,08:00 AM,9/29/2016 08:00 AM,Southbound,451,40,
9/29/2016,09:00 AM,9/29/2016 09:00 AM,Southbound,451,28,
9/29/2016,10:00 AM,9/29/2016 10:00 AM,Southbound,451,19,
9/29/2016,11:00 AM,9/29/2016 11:00 AM,Southbound,451,15,
9/29/2016,12:00 PM,9/29/2016 12:00 PM,Southbound,451,15,
9/29/2016,01:00 PM,9/29/2016 01:00 PM,Southbound,451,17,
9/29/2016,02:00 PM,9/29/2016 02:00 PM,Southbound,451,15,
9/29/2016,03:00 PM,9/29/2016 03:00 PM,Southbound,451,23,
9/29/2016,04:00 PM,9/29/2016 04:00 PM,Southbound,451,32,
9/29/2016,05:00 PM,9/29/2016 05:00 PM,Southbound,451,55,
9/29/2016,06:00 PM,9/29/2016 06:00 PM,Southbound,451,44,
9/29/2016,07:00 PM,9/29/2016 07:00 PM,Southbound,451,30,
9/29/2016,08:00 PM,9/29/2016 08:00 PM,Southbound,451,29,
9/29/2016,09:00 PM,9/29/2016 09:00 PM,Southbound,451,8,
9/29/2016,10:00 PM,9/29/2016 10:00 PM,Southbound,451,9,
9/29/2016,11:00 PM,9/29/2016 11:00 PM,Southbound,451,8,
10/4/2017,12:00 AM,10/4/2017 12:00 AM,Southbound,451,4,
10/4/2017,01:00 AM,10/4/2017 01:00 AM,Southbound,451,0,
10/4/2017,02:00 AM,10/4/2017 02:00 AM,Southbound,451,1,
10/4/2017,03:00 AM,10/4/2017 03:00 AM,Southbound,451,2,
10/4/2017,04:00 AM,10/4/2017 04:00 AM,Southbound,451,3,
10/4/2017,05:00 AM,10/4/2017 05:00 AM,Southbound,451,11,
10/4/2017,06:00 AM,10/4/2017 06:00 AM,Southbound,451,16,
10/4/2017,07:00 AM,10/4/2017 07:00 AM,Southbound,451,39,
10/4/2017,08:00 AM,10/4/2017 08:00 AM,Southbound,451,60,
10/4/2017,09:00 AM,10/4/2017 09:00 AM,Southbound,451,29,
10/4/2017,10:00 AM,10/4/2017 10:00 AM,Southbound,451,24,
10/4/2017,11:00 AM,10/4/2017 11:00 AM,Southbound,451,20,
10/4/2017,12:00 PM,10/4/2017 12:00 PM,Southbound,451,16,
10/4/2017,01:00 PM,10/4/2017 01:00 PM,Southbound,451,22,
10/4/2017,02:00 PM,10/4/2017 02:00 PM,Southbound,451,28,
10/4/2017,03:00 PM,10/4/2017 03:00 PM,Southbound,451,27,
10/4/2017,04:00 PM,10/4/2017 04:00 PM,Southbound,451,55,
10/4/2017,05:00 PM,10/4/2017 05:00 PM,Southbound,451,85,
10/4/2017,06:00 PM,10/4/2017 06:00 PM,Southbound,451,79,
10/4/2017,07:00 PM,10/4/2017 07:00 PM,Southbound,451,36,
10/4/2017,08:00 PM,10/4/2017 08:00 PM,Southbound,451,27,
10/4/2017,09:00 PM,10/4/2017 09:00 PM,Southbound,451,24,
10/4/2017,10:00 PM,10/4/2017 10:00 PM,Southbound,451,13,
10/4/2017,11:00 PM,10/4/2017 11:00 PM,Southbound,451,5,
10/5/2017,12:00 AM,10/5/2017 12:00 AM,Southbound,451,9,
10/5/2017,01:00 AM,10/5/2017 01:00 AM,Southbound,451,2,
10/5/2017,02:00 AM,10/5/2017 02:00 AM,Southbound,451,1,
10/5/2017,03:00 AM,10/5/2017 03:00 AM,Southbound,451,3,
10/5/2017,04:00 AM,10/5/2017 04:00 AM,Southbound,451,1,
10/5/2017,05:00 AM,10/5/2017 05:00 AM,Southbound,451,0,
10/5/2017,06:00 AM,10/5/2017 06:00 AM,Southbound,451,14,
10/5/2017,07:00 AM,10/5/2017 07:00 AM,Southbound,451,46,
10/5/2017,08:00 AM,10/5/2017 08:00 AM,Southbound,451,45,
10/5/2017,09:00 AM,10/5/2017 09:00 AM,Southbound,451,39,
10/5/2017,10:00 AM,10/5/2017 10:00 AM,Southbound,451,31,
10/5/2017,11:00 AM,10/5/2017 11:00 AM,Southbound,451,15,
10/5/2017,12:00 PM,10/5/2017 12:00 PM,Southbound,451,23,
10/5/2017,01:00 PM,10/5/2017 01:00 PM,Southbound,451,20,
10/5/2017,02:00 PM,10/5/2017 02:00 PM,Southbound,451,27,
10/5/2017,03:00 PM,10/5/2017 03:00 PM,Southbound,451,40,
10/5/2017,04:00 PM,10/5/2017 04:00 PM,Southbound,451,62,
10/5/2017,05:00 PM,10/5/2017 05:00 PM,Southbound,451,64,
10/5/2017,06:00 PM,10/5/2017 06:00 PM,Southbound,451,76,
10/5/2017,07:00 PM,10/5/2017 07:00 PM,Southbound,451,28,
10/5/2017,08:00 PM,10/5/2017 08:00 PM,Southbound,451,22,
10/5/2017,09:00 PM,10/5/2017 09:00 PM,Southbound,451,23,
10/5/2017,10:00 PM,10/5/2017 10:00 PM,Southbound,451,12,
10/5/2017,11:00 PM,10/5/2017 11:00 PM,Southbound,451,11,
9/27/2018,12:00 AM,9/27/2018 12:00 AM,Southbound,451,1,
9/27/2018,01:00 AM,9/27/2018 01:00 AM,Southbound,451,1,
9/27/2018,02:00 AM,9/27/2018 02:00 AM,Southbound,451,2,
9/27/2018,03:00 AM,9/27/2018 03:00 AM,Southbound,451,3,
9/27/2018,04:00 AM,9/27/2018 04:00 AM,Southbound,451,2,
9/27/2018,05:00 AM,9/27/2018 05:00 AM,Southbound,451,5,
9/27/2018,06:00 AM,9/27/2018 06:00 AM,Southbound,451,10,
9/27/2018,07:00 AM,9/27/2018 07:00 AM,Southbound,451,43,
9/27/2018,08:00 AM,9/27/2018 08:00 AM,Southbound,451,37,
9/27/2018,09:00 AM,9/27/2018 09:00 AM,Southbound,451,38,
9/27/2018,10:00 AM,9/27/2018 10:00 AM,Southbound,451,16,
9/27/2018,11:00 AM,9/27/2018 11:00 AM,Southbound,451,10,
9/27/2018,12:00 PM,9/27/2018 12:00 PM,Southbound,451,15,
9/27/2018,01:00 PM,9/27/2018 01:00 PM,Southbound,451,18,
9/27/2018,02:00 PM,9/27/2018 02:00 PM,Southbound,451,13,
9/27/2018,03:00 PM,9/27/2018 03:00 PM,Southbound,451,14,
9/27/2018,04:00 PM,9/27/2018 04:00 PM,Southbound,451,54,
9/27/2018,05:00 PM,9/27/2018 05:00 PM,Southbound,451,58,
9/27/2018,06:00 PM,9/27/2018 06:00 PM,Southbound,451,56,
9/27/2018,07:00 PM,9/27/2018 07:00 PM,Southbound,451,29,
9/27/2018,08:00 PM,9/27/2018 08:00 PM,Southbound,451,26,
9/27/2018,09:00 PM,9/27/2018 09:00 PM,Southbound,451,14,
9/27/2018,10:00 PM,9/27/2018 10:00 PM,Southbound,451,7,
9/27/2018,11:00 PM,9/27/2018 11:00 PM,Southbound,451,8,
9/28/2018,12:00 AM,9/28/2018 12:00 AM,Southbound,451,11,
9/28/2018,01:00 AM,9/28/2018 01:00 AM,Southbound,451,4,
9/28/2018,02:00 AM,9/28/2018 02:00 AM,Southbound,451,1,
9/28/2018,03:00 AM,9/28/2018 03:00 AM,Southbound,451,2,
9/28/2018,04:00 AM,9/28/2018 04:00 AM,Southbound,451,5,
9/28/2018,05:00 AM,9/28/2018 05:00 AM,Southbound,451,2,
9/28/2018,06:00 AM,9/28/2018 06:00 AM,Southbound,451,7,
9/28/2018,07:00 AM,9/28/2018 07:00 AM,Southbound,451,5,
9/28/2018,08:00 AM,9/28/2018 08:00 AM,Southbound,451,9,
9/28/2018,09:00 AM,9/28/2018 09:00 AM,Southbound,451,14,
9/28/2018,10:00 AM,9/28/2018 10:00 AM,Southbound,451,8,
9/28/2018,11:00 AM,9/28/2018 11:00 AM,Southbound,451,7,
9/28/2018,12:00 PM,9/28/2018 12:00 PM,Southbound,451,7,
9/28/2018,01:00 PM,9/28/2018 01:00 PM,Southbound,451,14,
9/28/2018,02:00 PM,9/28/2018 02:00 PM,Southbound,451,9,
9/28/2018,03:00 PM,9/28/2018 03:00 PM,Southbound,451,29,
9/28/2018,04:00 PM,9/28/2018 04:00 PM,Southbound,451,27,
9/28/2018,05:00 PM,9/28/2018 05:00 PM,Southbound,451,29,
9/28/2018,06:00 PM,9/28/2018 06:00 PM,Southbound,451,27,
9/28/2018,07:00 PM,9/28/2018 07:00 PM,Southbound,451,17,
9/28/2018,08:00 PM,9/28/2018 08:00 PM,Southbound,451,12,
9/28/2018,09:00 PM,9/28/2018 09:00 PM,Southbound,451,9,
9/28/2018,10:00 PM,9/28/2018 10:00 PM,Southbound,451,8,
9/28/2018,11:00 PM,9/28/2018 11:00 PM,Southbound,451,6,
9/27/2016,12:00 AM,9/27/2016 12:00 AM,Southbound,601,3,
9/27/2016,01:00 AM,9/27/2016 01:00 AM,Southbound,601,1,
9/27/2016,02:00 AM,9/27/2016 02:00 AM,Southbound,601,3,
9/27/2016,03:00 AM,9/27/2016 03:00 AM,Southbound,601,1,
9/27/2016,04:00 AM,9/27/2016 04:00 AM,Southbound,601,3,
9/27/2016,05:00 AM,9/27/2016 05:00 AM,Southbound,601,3,
9/27/2016,06:00 AM,9/27/2016 06:00 AM,Southbound,601,8,
